"filename", "language", "XML", "Java Properties", "Java", "Batch", "comment", "blank", "total"
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\repository\CarritoRepository.class", "Java", 0, 0, 4, 0, 0, 0, 4
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\repository\CategoriaRepository.class", "Java", 0, 0, 4, 0, 0, 0, 4
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\repository\DetalleFacturaRepository.class", "Java", 0, 0, 4, 0, 0, 0, 4
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\repository\FacturaRepository.class", "Java", 0, 0, 4, 0, 0, 0, 4
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\repository\InventarioRepository.class", "Java", 0, 0, 4, 0, 0, 0, 4
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\repository\LibroCarritoRepository.class", "Java", 0, 0, 4, 0, 0, 0, 4
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\repository\LibrosRepository.class", "Java", 0, 0, 5, 0, 0, 0, 5
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\repository\MedioPagoRepository.class", "Java", 0, 0, 4, 0, 0, 0, 4
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\repository\TipoDocumentoRepository.class", "Java", 0, 0, 4, 0, 0, 0, 4
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\repository\TipoLibroRepository.class", "Java", 0, 0, 4, 0, 0, 0, 4
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\repository\TipoUsuarioRepository.class", "Java", 0, 0, 4, 0, 0, 0, 4
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\repository\UsuarioRepository.class", "Java", 0, 0, 4, 0, 0, 0, 4
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\repository\VentasRepository.class", "Java", 0, 0, 4, 0, 0, 0, 4
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\service\CarritoService.class", "Java", 0, 0, 15, 0, 0, 0, 15
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\service\CategoriaService.class", "Java", 0, 0, 11, 0, 0, 0, 11
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\service\DetalleFacturaService.class", "Java", 0, 0, 8, 0, 0, 0, 8
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\service\FacturaService.class", "Java", 0, 0, 11, 0, 0, 0, 11
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\service\InventarioService.class", "Java", 0, 0, 12, 0, 0, 0, 12
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\service\LibroCarritoService.class", "Java", 0, 0, 17, 0, 0, 0, 17
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\service\LibrosService.class", "Java", 0, 0, 11, 0, 0, 0, 11
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\service\MedioPagoService.class", "Java", 0, 0, 9, 0, 0, 0, 9
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\service\TipoDocumentoService.class", "Java", 0, 0, 11, 0, 0, 0, 11
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\service\TipoLibroService.class", "Java", 0, 0, 9, 0, 0, 0, 9
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\service\TipoUsuarioService.class", "Java", 0, 0, 10, 0, 0, 0, 10
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\service\UsuarioService.class", "Java", 0, 0, 9, 0, 0, 0, 9
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\service\VentasService.class", "Java", 0, 0, 10, 0, 0, 0, 10
"Total", "-", 61, 28, 1905, 118, 83, 340, 2535
